example,stage,Grf,Dadv,context,degree,abstract,compositionality
志士们论辩愈有精神，这沉闷的空气更加浓厚,3,0,1,0,2,1,2
这几句说得有声有色，似乎梅女士也受了感动，从昨天起的不大喜欢这位少年的意思也在无形中减少几分,3,1,0,1,1,1,2
这几句说得有声有色，似乎梅女士也受了感动，从昨天起的不大喜欢这位少年的意思也在无形中减少几分,3,1,0,1,1,1,2
情形是这么着，即使本来有意义的事，也要变成索然无味了,3,1,0,1,2,1,2
但现在你要在上海过一点有意义的生活，你就应该先抛弃了那些个人间的感情和意见,3,1,0,1,2,1,2
当面的风景虽然很有意义，但现在也使她略感得些厌倦了,3,0,1,1,2,1,2
我同别人不一样，我是有钱的,3,1,0,1,2,1,2
我想那般有钱住洋房子的人，一定要说这是不聪明的吧,3,0,0,1,2,1,2
春天已经早就灿烂得有色有声的了，我仅仅能够株守在我的小室中,3,1,0,1,1,1,1
春天已经早就灿烂得有色有声的了，我仅仅能够株守在我的小室中,3,1,0,1,1,1,1
已作成了有生以来生活上的满足的顶点，要是能长共相保，该是多么有意义,3,1,1,1,2,1,2
故观念、信仰、行动诸倾向，每为社会环境之力所造成，意识的学校之教育，不过使此倾向，更醇化更有意义耳,3,0,1,0,2,1,2
好，小姑娘，你到底是个聪明孩子，有主意,3,0,0,1,2,1,2
这些地方全靠大驿路，地方好，出产多，住人多，占过来处处有发展,3,0,0,1,2,1,2
我就想，明天一天亮，我就到各处瞧一瞧，哼，一定有意思,3,0,0,1,2,1,2
有钱的人们早跑个精光了，最受祸害的还是他们劳苦贫穷的群,3,1,0,0,2,1,2
你还是那般有精神，有兴趣地唱着,3,1,0,1,2,1,2
你还是那般有精神，有兴趣地唱着,3,1,0,1,2,1,2
然而希耳施斐尔特的多年努力却终因一棒喝而归于水泡，这似乎都非偶然，都颇有意义，可以给我们做参考,3,0,1,1,2,1,2
只有命相两项，现在仍有生意,3,0,0,1,1,1,2
我相信你的话，我看你是有知识的,3,0,0,1,2,1,1
我们因为我们的相爱而更有精神起来，更努力起来，我们对人生更不放松了,3,0,1,1,2,1,2
但后者实际问题之研究，较前更有意义，适合于现今之运动云,3,0,1,1,2,1,2
吾人欲使此生有意义，欲使此生有价值,3,1,0,0,2,1,2
吾人欲使此生有意义，欲使此生有价值,3,1,0,0,2,1,2
尤其以竹帘为上，不看见那从疏密不一的竹帘里漏进来的明暗匀和的光线，和那忽隐忽现的隔帘花影么？这是多末有味道呵！,3,1,1,1,2,1,2
我见着他那很有意思的微笑，我知道他这时所作的事，对于他自己感觉到如何快愉,3,1,1,1,2,1,2
在社会上地位好，有钱，所得到的一切享受也就惬意,3,0,0,1,2,1,2
特别是坐在热坑头上，听人讲古，是非常有味道的,3,1,1,1,2,1,2
在各种课外活动中对于全体精神最有影响的，就是由学生负责编辑的校刊,3,1,1,1,2,1,2
他有工夫，有忍耐，有志气，有理想，然而缺乏运气,3,0,0,1,2,1,2
他是自己级里唯一最有成绩的人，就是在这河岸，这市梢上也是无敌的,3,1,1,1,2,1,2
事件的发展越发有味，它里面的机会成分也更加重,3,0,1,0,2,1,2
他们有经验的老兵比我还要善于辨别呢,3,1,0,1,2,1,2
德国马尔堡派对于“遗觉的影象”的研究甚有成绩,3,0,1,1,2,1,2
这休息，且是准备着一种更有意义的振翅，这休息不十分坏,3,1,1,1,2,1,2
有钱的人们却以贿赂使工程师的图纸上的路线拐一个弯,3,1,0,0,2,1,2
"这个麦作试验场是颇有成绩的一个，他们正在大量的繁殖着""小红芒""一个品种",3,1,1,1,2,1,2
做有钱的人底干女儿，油水是正有得揩的,3,1,0,0,2,1,2
她想着年头不景气，房子且没人要呢，那知犹太人到底有钱，竟要了去,3,0,1,1,2,1,2
老子跟你找一门好亲事，有钱有势；老子也搭着享点儿老福,3,0,0,1,2,1,2
"果能这样去作，当然比满天飞些""恭贺新喜""有意义的多呢",3,0,1,1,2,1,2
以一个最有影响于当时的画家吴道子来做例证，我觉得最为适当,3,0,1,1,2,1,2
有钱的人家是吃鸦片,3,1,0,0,2,1,2
嚣俄叙述得有味,3,1,0,1,2,1,2
这类文字，写写当然很有味儿的，不过要抓着真的痛痒也不容易,3,0,1,1,2,1,2
只要你是住在通都大市，，而且有钱，就不愁没有橘子吃了,3,0,0,0,2,1,2
他是绥远的土财主有钱有势,3,0,0,1,2,1,2
省府有一位先生告诉我说在百灵庙住蒙古包有意思极了,3,0,1,1,2,1,2
在一个月前我翻阅《复堂日记》，觉得有一件事情很有意思,3,0,1,1,2,1,2
他以为不死比了死还要有意义，因为他还要再奋斗一番,3,0,1,1,2,1,2
和第二年的长城战，却是很有意义的，值得赞美的,3,1,1,1,2,1,2
您是对于时局很有研究的，照您看，时局是不是马上就有变化呢,3,0,1,1,1,1,1
孩子们呢，可以同有钱的孩子们一样，到学堂里去念书,3,1,0,1,2,1,2
事实上无须去滇，但是学校仍不准变通办法，以为就是当作一次毕业旅行，也是顶有意义的,3,1,1,1,2,1,2
就是最高学府，他的教育，最多能培养你有知识，绝对不能使你有思想,3,0,0,0,2,1,2
就是最高学府，他的教育，最多能培养你有知识，绝对不能使你有思想,3,0,0,0,2,1,2
我养蟋蟀其目的绝不是为了残酷地欣赏作战，而是常以月老自居来为它们撮合的，我以为看它们作爱比看它们对垒有意味的多,3,0,1,1,2,1,2
我生平没有经过这么忙的生活，但也生平没有经过这么有意义的生活,3,1,1,1,2,1,2
每天在受着和士兵一样严格的军事训练，起初我担心小姐们吃不消，没想到她们越操越有精神,3,0,1,1,2,1,2
但是有钱的病人却都双挂号抢先诊治了走掉,3,1,0,0,2,1,2
验之谈有经验的战士会告诉你：在战场上，躲进刚才由炮弹炸成的洞里去，最安全,3,1,0,1,2,1,2
客人都是些又有钱，又会玩的人,3,1,0,1,2,1,2
"因其""大人气""，使我们看来更是一层层滋味，越看越有味",3,0,1,1,2,1,2
王先生是近代研究国学最有成绩的一个人，这有他的《遗书》为证,3,1,1,1,2,1,2
我觉得他的信，都很有意思，不过，不是简单的恋爱问题，而是整个的社会问题,3,0,1,1,2,1,2
其中最有意思的大概要算是草花店吧,3,1,1,1,2,1,2
他的成仁得义，以及被称礼智，虽不自居，倒是确切而有意义的,3,1,0,1,2,1,2
星期日我们在公园请曾敏求吃饭，你可以和他多谈谈，他是很有学问的,3,1,1,1,2,1,2
须知中国人也是有思想的,3,1,0,1,2,1,2
尤其当他讲到庚子年闹拳匪，十六年打南口的经过，本来是漫无系统的话题，经他的唇吻加以渲染，便觉有声有色,3,1,0,1,2,1,2
尤其当他讲到庚子年闹拳匪，十六年打南口的经过，本来是漫无系统的话题，经他的唇吻加以渲染，便觉有声有色,3,1,0,1,2,1,2
"却都不及""神仙变化""来得有意味",3,1,0,1,2,1,2
这一类的琐事，是家庭中最有味的谈话资料，一谁不谈呢？,3,1,1,1,2,1,2
让眼泪流下来的时候，纯洁得像明珠一般，这是有意义的,3,1,0,1,2,1,2
那就只有找一个有钱有势的靠山，以图“东山再起”,3,1,0,0,2,1,2
整个春满园的人群最近无不以此为话题，并且都说得有凭有据，有声有色,3,0,0,1,1,1,1
整个春满园的人群最近无不以此为话题，并且都说得有凭有据，有声有色,3,0,0,1,1,1,1
这原助教不是好东西，仗着她自己年轻，漂亮，读书有点成绩，就这样的欺负人,3,0,0,1,2,1,1
配不上一位真正有学问，国内外知名的吴教授,3,1,1,1,2,1,2
编了许多污秽的故事，举了许多有声有色的例证，把整个的春满园弄得满园桃色,3,1,0,1,1,1,2
编了许多污秽的故事，举了许多有声有色的例证，把整个的春满园弄得满园桃色,3,1,0,1,1,1,2
因此，我们有良知有胆识的人应该时刻辨明,3,1,0,1,1,1,2
不过+A566:A586我们以第三者来看西洋人之争论问题，颇有趣味，且另有意见,3,0,1,1,1,1,2
这比喻实在有意思,3,0,1,1,2,1,2
有思想的学生才会承认不能回答,3,1,0,0,2,1,2
有思想的人不轻易批评人，也是这个道理,3,1,0,0,2,1,2
古今以来的革命运动不都是起于当时几个有头脑有勇气的书生的策动么,3,1,0,1,1,2,2
我的那位人儿很有钱，也很有地位，只可惜呀他是一个老头子,3,0,1,1,2,1,2
我的那位人儿很有钱，也很有地位，只可惜呀他是一个老头子,3,0,1,1,2,1,2
这样的通信也很有意思，我谈乡下的趣味，谈对于上海的恋念，我谈及乡村里的人物,3,0,1,1,2,1,2
我知道恋爱里是有道德的,3,1,0,1,1,1,2
（向玉亭）伯韬真有精神,3,0,1,1,2,1,2
有学问的主教僧侣等自己也喜欢研究,3,1,0,1,2,1,2
现在要劝导较有思想和学问的罗马公民，则慕道学校所给予的一些训练不足应付,3,1,1,0,2,1,2
现在要劝导较有思想和学问的罗马公民，则慕道学校所给予的一些训练不足应付,3,1,1,0,2,1,2
为应付有学问的希腊人的驳难,3,1,0,1,2,1,2
各样学识皆像个有知识的军人,3,1,0,1,2,1,2
几个上级官佐自然都是有钱的,3,1,0,1,2,1,2
用一阵气力在这圆桶形风箱上面，不到一刻就可看到白色放光闪着火花的铁汁从缺口流出，这工作也很有意义的,3,0,1,1,2,1,2
这解释实在很有意义,3,0,1,1,2,1,2
赶路的人把路旁风景赶掉了，把一路应该做的有意义的事赶掉了,3,1,0,0,2,1,2
无论官兵都是愈打愈有经验，愈打愈有本事，也如同钢刀一样愈磨愈快,3,0,1,1,2,1,2
无论官兵都是愈打愈有经验，愈打愈有本事，也如同钢刀一样愈磨愈快,3,0,1,1,2,1,2
"在一年的摸索中，不能说没有一点成绩，正如教育部副部长钱俊瑞所说：""是有成绩的，但用人民大学的标准来衡量，还是不够",3,1,0,1,2,1,1
由此可以知道我们的祖先对金属化合物的研究是很有成绩的,3,1,1,1,2,1,1
解决生产与学习的矛盾问题，西峪口的村干部与群众是有经验的,3,1,0,1,2,1,1
从一般的社会主义的工业生产，来看苏联青年的力量怎样贯注到每一个细微的部分，也许是更有意义的,3,1,1,1,2,1,2
这样弄得群众彼此有意见、不团结，许多男子误解婚姻法,3,0,0,1,1,1,2
做起群众运动来，许多同志是熟手，蛮有经验,3,0,1,1,2,1,2
卫毅和张培站在一起，看来满有意思,3,0,1,1,2,1,2
在农村中贯彻身体好，不如城市有条件，因而不好搞,3,0,0,1,2,1,2
自然只是有钱有势的人才能享受，更不必说在慈善事业中,3,1,0,1,2,1,2
这是一次很有意义的谈话，他事后回忆当时的情况说,3,1,1,1,2,1,2
他倒不是有心肠听孩子那半懂不懂的讲书,3,1,0,1,1,2,2
在实用主义者的眼里，脑满肠肥的资本家是最有知识的，因此资本家就成为最有道德的了,3,1,1,1,1,1,2
影片于１９８１年拍成后，被有影响的《电影旬报》杂志评选为当年十大佳片的首位,3,1,0,1,2,1,2
今天向王连长下命令应该有些顾虑，他认为这样才能把赵志方演得有血有肉,3,1,0,1,1,2,2
今天向王连长下命令应该有些顾虑，他认为这样才能把赵志方演得有血有肉,3,1,0,1,1,2,2
哥哥叶大英听着弟弟有声有色的叙述，又是羡慕又是嫉妒,3,1,0,1,1,1,2
哥哥叶大英听着弟弟有声有色的叙述，又是羡慕又是嫉妒,3,1,0,1,1,1,2
叫他好几声都没答应，可能跟我有意见啦,3,0,0,1,1,1,1
"真有意思，一只老鸭子带着一群小鸭子，一""扎猛子""就是一条小鱼",3,0,1,1,2,1,2
虽然有几分颜色，但是根子下贱，不适合于您这门第,3,0,0,1,1,1,2
可是这是个有历史的医院，医院立下许多规矩都是有道理的,3,1,0,1,2,1,2
很多大问题，他们比我们有知识的人看得清楚得多呢,3,1,0,1,2,1,2
我倒想起一个很有意思的故事,3,1,1,1,2,1,2
你这个比喻很有意思,3,0,1,1,2,1,2
这个房子布置得挺有意思，想不到在前线这样艰苦、紧张的环境,3,1,1,1,2,1,2
小吴两眼挺有精神的望着她，他想，“她一定很高兴,3,1,1,1,2,1,2
观众认为愈看愈有味道或愈看愈有意思的油画《春到西藏》（董希文），就是这样的作品,3,0,1,1,2,1,2
观众认为愈看愈有味道或愈看愈有意思的油画《春到西藏》（董希文），就是这样的作品,3,0,1,1,2,1,2
他是这村的冯国标，是以前东北军的老排长，挺有经验，往后可以给咱们帮忙,3,0,1,1,2,1,2
你知道我的脾气，研究组的同志们可能对我有意见,3,0,0,1,1,1,1
"有这样一位富有经验的""老猎手""作向导，看起来我的担心是多余的",3,1,0,1,2,1,2
近代大生产使无产阶级具有最集中、最有组织和最有纪律的特性,3,1,1,1,2,1,2
有一个青年把这条新闻添枝加叶更讲得有声有色,3,1,0,0,1,1,2
有一个青年把这条新闻添枝加叶更讲得有声有色,3,1,0,0,1,1,2
有些新词很好，有味道，说起来也顺流,3,0,0,1,2,1,2
真正有学问的人，永远是谦虚的,3,1,1,0,2,1,2
看啥啥新鲜，听啥啥顺耳，人家活得真有意思,3,1,1,1,2,1,2
迅速地穿上了，满有精神地背起了背包，去赶九点半钟的船,3,1,1,1,2,1,2
可为什么有这么大的劲头，有意思啊,3,0,0,1,2,1,2
他们+A641:A653有意识的歪曲党的政策和司法工作的正确关系,3,1,0,0,2,1,2
对于中国人民伟大领袖那种富有思想、有远见、朴实、慈祥的形象,3,1,0,0,2,1,2
必须深刻地去观察、去研究、去刻划，才能正确地适当塑造出有血有肉的真正的英雄形象,3,1,0,0,1,2,2
必须深刻地去观察、去研究、去刻划，才能正确地适当塑造出有血有肉的真正的英雄形象,3,1,0,0,1,2,2
王大娘对她们一再推迟结婚，可真有意见,3,0,1,1,1,1,1
有经验的射手都在这个缺口的树林里蹲伏着,3,1,0,0,2,1,2
黄澜生给他们介绍之后，紧接着就问起吴凤梧来：“这个人真有意思,3,0,1,1,2,1,2
王先生这个人真有意思，专门收集奇特的、新鲜的玩意儿,3,0,1,1,2,1,2
像这样的见面礼可真有意思，既友好，又不一般化,3,0,1,1,2,1,2
得要有毅力，要依靠有经验的老工人，技术革新的愿望是可以实现的,3,1,0,0,2,1,2
要活着，就要活得有价值，生活得有意义，别辜负时代，别浪费青春,3,1,0,0,2,1,2
要活着，就要活得有价值，生活得有意义，别辜负时代，别浪费青春,3,1,0,0,2,1,2
周善培很有意思地笑了笑道：“在官言官，我当然不赞成你们使出这个撒手锏,3,1,1,1,2,1,2
你的日子过得真是有声有色呀,3,1,0,1,1,1,2
你的日子过得真是有声有色呀,3,1,0,1,1,1,2
有经验的渔民，听到叫声，就能分辨出海里的黄花鱼是多是少,3,1,0,1,2,1,2
他们都是我们生活中真正的人，活生生的人，他们有血有肉，有爱有恨，懂得感情，也懂得人生,3,0,0,1,1,2,2
他们都是我们生活中真正的人，活生生的人，他们有血有肉，有爱有恨，懂得感情，也懂得人生,3,0,0,1,1,2,2
曹成林是党员，政治上强，脑筋聪明，工作积极，孔大妈又很看重他，再加上队长帮助，这更是有条件,3,0,0,1,2,1,2
谁知有经验的赶马人却说,3,1,0,1,2,1,2
连一点有意义的东西也找不到,3,1,0,0,2,1,2
这都证明了我是最美丽和最有身份的,3,1,1,1,2,1,2
"张惠听了眉开眼笑：""还是咱们老疙瘩有主意！",3,0,0,1,2,1,2
我还怀疑着这么一个新鲜有味的名字,3,1,0,1,2,1,2
他讲出来的话挺有影响，别人总归要听他几句,3,0,1,0,2,1,2
这些，都是非常有趣、有意义的问题,3,1,0,1,2,1,2
于谦义正词严，说得有声有色，明宣宗很赏识他，认为是个了不起的人才,3,1,0,1,1,1,2
于谦义正词严，说得有声有色，明宣宗很赏识他，认为是个了不起的人才,3,1,0,1,1,1,2
这三个老宰相都是从明成祖时就当权的，比较正直，有经验，也有魄力,3,0,0,0,2,1,2
老杨吃了几口面条，也有精神了，直往腰里摸烟锅,3,0,0,0,2,1,1
李书记靠在椅背上，觉得这里边大有文章,3,0,1,0,2,1,1
聂家有钱有势，在济南又有坐大官的,3,0,0,0,2,1,2
这种好学的习惯，对于文天祥是很有影响的,3,1,1,0,2,1,2
资产阶级学者搞清史的也屈指可数，更找不到比较有系统的清史著作,3,1,1,0,2,1,2
"真有意思，""游泳能手""老爱跟在""大头鱼""后面游，是不是它爱吃""大头鱼""的粪便呢？",3,0,1,0,2,1,2
沙漠里的这些事儿多有意思,3,0,1,0,2,1,2
文仪的为人对文天祥是很有影响的,3,1,1,0,2,1,2
群众种杉树很有经验，历来就是用粮林结合的办法,3,0,1,0,2,1,2
我们要善于选择那些有意义的情感，使动作又表现激情，又表现力量,3,1,0,0,2,1,2
反映+A681:A691到中央我也有意见！,3,0,0,1,2,1,2
"陈大虎：""这活干得有意义。",3,1,0,1,2,1,2
对于我们研究石达开在分裂出走以后所进行斗争的阶级本质，和研究评价石达开的一生，都是有意义的,3,1,0,0,2,1,2
饶兴礼对开会很有研究,3,0,1,0,2,1,2
革命工作没有不艰苦的，你有文化，去当测地兵吧，怎么样,3,0,0,1,2,1,2
对于有道德的人，应当给予他们一定的社会地位,3,1,0,0,1,1,2
我们的脑子真有意思，做过什么，就能记住，本领真不小,3,0,1,0,2,1,2
那个孩子可有意思，如果您有兴趣的话，我们可以供给您一些关于她的材料,3,0,1,1,2,1,2
首先就应当使自己成为一个有道德的人,3,1,0,0,1,1,2
她永远怀念那一个早晨，为了学会骑马，那一次有意义的摔跌,3,1,0,0,2,1,2
起初都是由有经验的老饲养员刘孝德负责这一工作,3,1,0,0,2,1,2
我们是第一代有知识有文化的农民啊！,3,1,0,0,2,1,2
我们是第一代有知识有文化的农民啊！,3,1,0,0,2,1,2
真的，跟小巴札出去，那可是挺有意思啦，他可以带着我去采碗口大的香蘑,3,0,1,1,2,1,2
我那班长李明生，是个服役六年的老战土，对带新兵很有经验,3,0,1,1,2,1,2
道安是我国东晋时期最博学的佛学家，最有影响的佛教宣传者和组织者，是当时佛教的领袖,3,1,1,0,2,1,2
长身体，长知识，力求进步，为祖国立功，生活才最有意义,3,0,1,0,2,1,2
你有文化有技术，又年轻，我真有点眼馋呀,3,0,0,1,2,1,2
你有文化有技术，又年轻，我真有点眼馋呀,3,0,0,1,2,1,2
特别是对铣工活最有研究，所以一进厂领导就把他安排到铣床上,3,0,1,0,2,1,2
要是提起今年收葡萄前后的另一场斗争，更是有意思,3,1,1,0,2,1,2
交际又广，手腕又活，在街面上是个有头有脸的人物,3,1,0,0,1,2,2
交际又广，手腕又活，在街面上是个有头有脸的人物,3,1,0,0,1,2,2
生产大队长宿国岐，早对此人深有了解，见他如此慷慨的举动，猜出里面必有文章,3,0,0,0,2,1,2
真有意思，那怕孩子们像噪林的闹山雀儿，叽叽喳喳叫个不停的时候，老师一张口讲故事，也马上能寂静无声,3,0,1,0,2,1,2
好好干下去，这工作非常有意义,3,0,1,0,2,1,2
成为一个有社会主义觉悟，有文化，又有健康身体的有用的人材,3,1,0,0,2,1,2
商人用钞已经有了长期的历史，成为习惯了，用钱感觉不方便，很有意见,3,0,1,0,2,1,2
指导员的批评，我们接受不了，有意见,3,0,0,1,2,1,2
可是，王依青却从此对王传河有意见了,3,0,0,0,2,1,2
过去她以为大学生读了那么多书，多有知识呀！,3,0,1,0,2,1,2
挂在它们脖颈上的铁铃和木板铃，很有意思,3,0,1,0,2,1,2
过去，我总觉得你为国家想得多，为咱们生产队想得少，对你有意见,3,0,0,1,2,1,2
曾派出一批又一批的技术人员和有经验的工人,3,1,0,0,2,1,2
参加国防建设，嗨，真有意义呀,3,0,1,1,2,1,2
一纯同志，你有没有想过，随便搬畜牧场的蛋，群众是会有意见的,3,0,0,0,2,1,1
你养鸡就是有成绩,3,1,0,0,2,1,2
心眼多，有主意，能摸每个姑娘的心，人家什么贴心话都愿告诉她,3,0,0,0,2,1,2
"哪些地方""阶级斗争熄灭论""有市场，那些地方的阶级斗争就正在这层纱幕后面，惊心动魄地进行",3,0,0,0,1,1,2
周川+A726:A739静静地听着洪大爷有声有色的谈话,3,1,0,0,1,1,2
周川静静地听着洪大爷有声有色的谈话,3,1,0,0,1,1,2
男社员有意见，群众也有议论,3,0,0,0,2,1,2
"董向坤越听觉得越有意思，""好，说下去。",3,1,1,1,2,1,2
然而他们凭借这个舞台，却可以导演出很多有声有色、威武雄壮的戏剧来,3,1,0,0,1,1,2
然而他们凭借这个舞台，却可以导演出很多有声有色、威武雄壮的戏剧来,3,1,0,0,1,1,2
目的是要培养一代有社会主义觉悟、有文化的新式农民，加快农村建设,3,1,0,0,2,1,2
方华，你听，群众有意见了,3,0,0,1,2,1,1
一个团的参谋长，过去机务人员对飞行计划有意见，他听了也不重视,3,0,0,0,2,1,2
认清宋江“上山”的来龙去脉，对于认识宋江推行投降主义路线的必然性及其本质，是很有意义的,3,1,1,0,2,1,2
我觉得这个老头儿很有意思，像这种敲敲摸摸的检查活儿,3,0,1,1,2,1,2
有时则在姐姐面前提到志云的一件件趣事，讲得有兴有味的,3,1,0,0,2,1,2
"他觉得顶有意思的还是在讲堂上偷看""闲书""，《西游记》呀什么的",3,1,1,1,2,1,2
国民外交对于同中国没有建交的国家的关系是特别有意义的,3,1,1,0,2,1,2
村里有钱有势的人从来不到这些地方,3,1,0,0,2,1,2
石家庄市工业学大庆的确是有成绩的,3,1,0,0,2,1,1
僧侣们保卫有钱有势的人而反对穷人,3,1,0,0,2,1,2
去问问人类吧，问问有学问的老科学家吧,3,1,0,0,2,1,2
婆婆对火车象是很有意见的呢,3,1,1,0,2,1,2
眼下念过书，有学问的人，日子不好过呀,3,1,0,0,2,1,2
薛总工程师，感谢你，做了一件很有意义的工作,3,1,1,1,2,1,2
河狸大伯以他那富有经验的眼光，一边仔细看着图纸，一边点头赞扬着,3,1,0,1,2,1,2
只见小苗儿喝足了水，昂起了头，一个个变得多么有精神啊,3,1,1,0,2,1,2
这位老大爷真有意思，老母猪下崽还能现代化,3,0,1,1,2,1,2
实现农业现代化，也需要大批有知识的人才哩,3,1,0,0,2,1,2
因此文学作品的种类的区分是很有意义的，也是很重要的,3,1,1,0,2,1,2
蚂蚁就被他罩住在身体下面，只见他吃蚂蚁象小咪咪吃鱼一样有味道,3,0,0,0,2,1,2
延安民主作风的特点是领导和群众、上级和下级之间的民主平等，这一点对于执政的阶级和政党说来最有意义，做起来也最不容,3,0,1,0,2,1,2
爷爷说，下午要带我去另一个很有意思的地方，是听一个外国朋友讲海底新发现,3,1,1,1,2,1,2
他今天对老杨不让他出场有意见，肚里有气，踢不好球就很自然,3,0,0,1,2,1,2
（自尊心受了损伤）有意思，搞了半天，这份总结似乎变成毒草啰,3,0,0,0,2,1,2
"（对大家）俗话说，""来得早不如来得巧""，我听到了一场很有意义的辩论",3,1,1,1,2,1,2
他对我有看法,3,0,0,1,2,1,2
可是文化大革命中，就因为用过几个有问题的人，第一个被揪出来剃了鬼头，拉到街上游斗,3,1,0,0,2,1,2
虽然比武汉时更瘦了，更黑了，但眉宇间显得更有精神,3,1,1,0,2,1,2
张师傅是个既有理论，又有实践经验的七级工,3,1,0,0,1,1,2
这说明小海字生产队党支部和广大群众有眼光,3,0,0,0,2,1,2
为了削弱人民的反抗意识，统治者又有意识地利用佛教，想以之达到麻痹他们思想的目的,3,1,0,0,2,1,2
刘树根和小会计又淋漓尽致有声有色地形容了—番,3,1,0,0,1,1,2
刘树根和小会计又淋漓尽致有声有色地形容了—番,3,1,0,0,1,1,2
更有意思的是，大队长看了这本书，在开社员大会的时候，竟讲开了书中的故事，提出了向书中的人物学习,3,1,1,0,2,1,2
她开始思量着妈妈的话，开始仇视一切有钱的人，开始使撒野话去咒诅他们,3,1,0,0,2,1,2
起初，我很有意见：我又不是废气，干嘛把我关在瓶子里,3,0,1,1,2,1,1
谈世界农业经济，谈农业机械化，谈高等教育，谈知识青年……三人轮流主谈，很有意思,3,0,1,1,2,1,2
这一项，战地救护特别有意义，大出血的战士，只要医务人员手里有ＸＹ，就能用收集起的废血来补血,3,0,1,0,2,1,2
看完展览后对记者发表观感说：举办这种展览很有意义，它使人受到教育和鼓舞，更使人兴奋,3,0,1,1,2,1,2
讨论法国十九世纪的绘画思潮，是很有意思的问题,3,1,1,0,2,1,2
人们从琳琅满目的展品中，看到了我国青少年智慧的闪光，看到了有理想、有知识、懂理论、会实践的新一代正在成长,3,1,0,0,2,1,2
都活得有滋有味的，这是谁出的主意呀,3,1,0,0,2,1,2
他们认为对克服大小年很有意义,3,0,1,0,2,1,2
她也是在父母压力之下嫁了一个有钱的老商人,3,1,0,0,2,1,2
瞧他多有意思，穿得这么漂亮，可又住在不显眼的泥洞里,3,0,1,0,2,1,2
人，当然还应是有理想、有追求、有思想的动物,3,1,0,0,2,1,2
有经验的猎人告诉我们，狼群里最前面和最后面的两只狼,3,1,0,0,2,1,2
"可是梅溪最难受的是同院人有意见，她对我说：""我两个孩子从来不跟人家吵嘴打架，和邻居从来都和和气气",3,0,0,0,2,1,2
这种客馆对后世的旅店业也颇有影响,3,0,1,0,2,1,2
"有些少年朋友越到晚上越有精神，看小说连看几小时，一到考试开""夜车""，这样都不好，会把脑子累坏的",3,1,1,0,2,1,2
清代王维德的《外科全生集》，也是一部较有影响的外科专著,3,1,1,0,2,1,2
他手巧，心细，有经验，无论生产上有什么难题，只要到了他手里都乖乖降服,3,0,0,0,2,1,2
其实那些有经验的买主并不急于成事，他们先到猪市上了上一遭，探个行情,3,1,0,0,2,1,2
这件事不只我有点想不通，同志们也有看法……,3,0,0,0,2,1,1
让那帮娘娘、处长们活得有滋有味去吧,3,1,0,0,2,1,2
"方明山一听放声笑了起来：""……真有意思,抓我、打我，还要我相信你们……",3,0,1,1,2,1,2
还是博士和资料员苔丽小姐介绍的那几卷档案，和他们讲得有声有色的故事,3,1,0,0,1,1,2
还是博士和资料员苔丽小姐介绍的那几卷档案，和他们讲得有声有色的故事,3,1,0,0,1,1,2
，最有意思的是海豚。,3,1,1,0,2,1,2
很快，我们四人便共同进行了两项有意义的研究,3,1,0,0,2,1,2
只有把鲜明的思想性融会于知识性和趣味性之中，才能使大家听得有味,3,1,0,0,2,1,2
是第二次世界大战以来比较有影响的一次现代化的局部战争,3,1,1,0,2,1,2
帮助农村学校培养师资，传授教学经验，改善办学条件，是一件很有意义的工作,3,1,1,0,2,1,2
